[2020-01-03 05:22:38] main.ERROR: Error: Application is not installed yet.  [] []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_3","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_9","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_9","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_10","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_10","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_11","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_11","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_17","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_17","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_18","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_18","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_19","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_19","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_20","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_20","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_27","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_27","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_28","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_28","FPC"],"mode":"matchingTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2020-01-03 05:25:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/mage2/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
